UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Grossmont College,MATH 1A,MATH 180 (5.00),,
University of California Berkeley,Grossmont College,MATH 1B,MATH 280 (4.00),,
University of California Berkeley,Grossmont College,MATH 53,MATH 281 (4.00),,
University of California Berkeley,Grossmont College,MATH 54,MATH 284 (3.00); MATH 285 (3.00),,
University of California Berkeley,Grossmont College,ENGLISH R1A,ENGL 120 (3.00),ESL 122 (6.00),
University of California Berkeley,Grossmont College,ENGLISH R1B,ENGL 122 (3.00),ENGL 124 (3.00),
University of California Berkeley,Grossmont College,PHYSICS 7A,Not Articulated,,
University of California Berkeley,Grossmont College,,PHYC 201 (5.00),,
University of California Berkeley,Grossmont College,PHYSICS 7B,Not Articulated,,
University of California Berkeley,Grossmont College,,PHYC 202 (5.00),,
University of California Berkeley,Grossmont College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Grossmont College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Grossmont College,BIOLOGY 1A; BIOLOGY 1AL,BIO 230 (4.00); BIO 240 (5.00),,
University of California Berkeley,Grossmont College,BIOLOGY 1B,BIO 230 (4.00); BIO 240 (5.00),,
University of California Berkeley,Grossmont College,CHEM 1A; CHEM 1AL,CHEM 141 (5.00),,
University of California Berkeley,Grossmont College,CHEM 1B,CHEM 142 (5.00),,
University of California Berkeley,Grossmont College,CHEM 3A; CHEM 3AL,CHEM 241 (3.00); CHEM 241L (2.00),CHEM 231 (5.00),
University of California Berkeley,Grossmont College,CHEM 3B; CHEM 3BL,CHEM 242 (3.00); CHEM 242L (2.00),CHEM 232 (5.00),
University of California Berkeley,Grossmont College,MCELLBI 32; MCELLBI 32L,BIO 141 (3.00),,
University of California Berkeley,Grossmont College,PHYSICS 7C,Not Articulated,,
University of California Berkeley,Grossmont College,,PHYC 203 (5.00),,
University of California Berkeley,Grossmont College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Grossmont College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Grossmont College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Grossmont College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Grossmont College,EECS 16A,Not Articulated,,
University of California Berkeley,Grossmont College,EECS 16B,Not Articulated,,
